CMANAME,Latitude,Longitude
St. John's,-52.85872193669093,47.49945000191195
Grand Falls-Windsor,-55.66317131909483,48.957694885529364
Gander,-54.89573058376747,48.77505501816185
Corner Brook,-57.725545186998,48.984273369253565
Charlottetown,-63.13806708038529,46.319135548167665
Summerside,-63.85213122782699,46.443105338853705
Halifax,-63.279166572109254,44.92147283791853
Kentville,-64.48906475783565,45.08239734771639
Truro,-63.194220934296105,45.391447045516784
New Glasgow,-62.513785508290226,45.49036749555023
Cape Breton,-60.26258379205981,46.00986446197348
Moncton,-64.85810157463989,46.01479651717904
Saint John,-66.01029509574289,45.40394933956179
Fredericton,-66.77943409098633,46.014751420786155
Bathurst,-65.80633737841418,47.543473043589714
Miramichi,-66.140682821729,47.11179458901731
Campbellton (New Brunswick part / partie du Nouveau-Brunswick),-66.76437787325509,47.720203899334805
Campbellton (partie du Québec / Quebec part),-66.71764140837575,48.11981810233686
Edmundston,-68.17323500145898,47.51156235001144
Matane,-67.42487027443752,48.77337053170475
Rimouski,-68.51053728626023,48.34832304619673
Rivière-du-Loup,-69.44328132919114,47.808278050619094
Baie-Comeau,-68.32757106664401,49.20302654929405
Saguenay,-71.00826823456165,48.419452740527944
Alma,-71.68240350213243,48.592061667663
Dolbeau-Mistassini,-72.15190873188739,48.87309953582791
Sept-Îles,-66.04308206113156,50.342177887233056
Québec,-71.34189992540831,46.91263204041676
Sainte-Marie,-71.00376880070411,46.44258668355722
Saint-Georges,-70.64150003872393,46.102945057916656
Thetford Mines,-71.31788132067426,46.0703232207605
Sherbrooke,-71.94529438192504,45.3899770833015
Cowansville,-72.76531953965664,45.2071147311222
Victoriaville,-71.9335228757896,46.02944433822625
Trois-Rivières,-72.50226037374607,46.36024616075345
Shawinigan,-72.88146524674546,46.711777083411455
Drummondville,-72.46177273876832,45.866937761674066
Granby,-72.7395158877562,45.391497508166196
Saint-Hyacinthe,-72.9100201533104,45.62117734212748
Sorel-Tracy,-73.0784514421714,45.99857556819087
Joliette,-73.43030940655943,46.00096686098725
Montréal,-73.70474438984748,45.57714310504631
Salaberry-de-Valleyfield,-74.05966040519912,45.26471469090623
Sainte-Agathe-des-Monts,-74.26721279214547,46.050061027260256
Lachute,-74.29615413176171,45.66689357472888
Val-d'Or,-77.67129255629483,47.979228263951725
Amos,-78.18508710977362,48.69291628584713
Rouyn-Noranda,-78.87308259062385,48.132558323454944
Cornwall,-74.91486915856167,45.07053885302734
Hawkesbury (partie du Québec / Quebec part),-74.59920900359154,45.62758283477992
Hawkesbury (Ontario part / partie de l'Ontario),-74.6105958484733,45.60885587747461
Ottawa - Gatineau (partie du Québec / Quebec part),-75.73745472367035,45.68287856303398
Ottawa - Gatineau (Ontario part / partie de l'Ontario),-75.82783297279298,45.272615383000606
Brockville,-75.86140201583116,44.698618695996416
Pembroke,-77.23748433392795,45.748665984086145
Petawawa,-77.31004410340712,45.89420293341887
Kingston,-76.53936363494975,44.394864906436766
Belleville - Quinte West,-77.45553337043432,44.25956861587141
Cobourg,-78.16569323211093,43.97125102176615
Port Hope,-78.38903012389348,44.015078792842736
Peterborough,-78.26614544054901,44.34350117506335
Kawartha Lakes,-78.81643560785884,44.518272682742754
Centre Wellington,-80.38655782515453,43.71607015183162
Oshawa,-78.74159982706706,43.966816895128964
Ingersoll,-80.88213534669315,43.03280810444981
Toronto,-79.58012953449062,43.904709108719736
Hamilton,-79.9258498935207,43.26608973279375
St. Catharines - Niagara,-79.2327031618611,43.03568956157397
Kitchener - Cambridge - Waterloo,-80.49086067404018,43.4419153357207
Brantford,-80.30785568771505,43.1255398003734
Woodstock,-80.72479087451183,43.138081091418066
Tillsonburg,-80.73270803146445,42.859020891773156
Norfolk,-80.43891974623617,42.799391822326534
Guelph,-80.2197022526552,43.543982866848594
Stratford,-80.98502559080634,43.36888479116209
London,-81.32938483246932,42.93330048497022
Chatham-Kent,-82.13130045322004,42.42379198567735
Windsor,-82.7813136785923,42.163154607486
Sarnia,-82.28146146898906,42.87092278233552
Essa,-79.81266954865062,44.26107359559172
Wasaga Beach,-80.02447809849697,44.49694749938403
Owen Sound,-81.01596160392917,44.636226713383245
Collingwood,-80.23574062122078,44.498123132904034
Barrie,-79.73869224752161,44.40733825885419
Orillia,-79.37770478733147,44.562734971533295
Midland,-79.90486397767484,44.759781421515854
North Bay,-79.44463063217248,46.50266506836802
Greater Sudbury / Grand Sudbury,-80.94678349668729,46.549261570685964
Elliot Lake,-82.63199842723382,46.40626472451532
Timmins,-81.28053434336583,48.48975945299268
Sault Ste. Marie,-84.16996819158096,46.526916020824025
Thunder Bay,-89.34922382455255,48.36886600710252
Kenora,-94.43994006778246,49.82196373111777
Winnipeg,-97.04814617307817,49.887389953406796
Winkler,-98.06692658639528,49.13354899946361
Steinbach,-96.69376956165966,49.53113844923563
Portage la Prairie,-98.28857394844181,49.970299272737364
Brandon,-100.052779089913,49.88413542044541
Thompson,-97.84559584769343,55.75676519654273
Regina,-104.62094463377495,50.44930364663415
Yorkton,-102.42861445340394,51.254638203175645
Moose Jaw,-105.51172916633236,50.440578457745495
Swift Current,-107.85423245958081,50.2228575754909
Saskatoon,-106.56507232750606,52.09766563872581
North Battleford,-108.43743049764267,52.73550851632314
Prince Albert,-105.60972112763949,53.24088586878689
Estevan,-103.01130807355261,49.13066225418243
Weyburn,-103.83556388748886,49.65375396303589
Medicine Hat,-110.58491667762746,50.01469550705715
Brooks,-111.8919456225017,50.564837889286814
Lethbridge,-112.76773162001454,49.84374583767489
Okotoks,-113.96198506214978,50.72636009866984
High River,-113.86901037291365,50.58348672130277
Calgary,-114.07812569794703,51.18077944552868
Strathmore,-113.39602623162598,51.04790340162871
Canmore,-115.32547463395942,51.06363216512112
Red Deer,-113.79735354556581,52.281596901579576
Sylvan Lake,-114.08899732412371,52.306112428338146
Lacombe,-113.72745334594752,52.472062225051644
Camrose,-112.83173055582066,53.00823128899988
